Brand,ProductName,FlavorProfile,Type,Ingredients,Caffeine_mg,Sugar_g,Calories,HealthTags,MarketRegion,UseCase,ReviewSummary,MedicalTags
Coca-Cola,Coca-Cola Tamarind Blast,Tamarind,Energy Drink,"Sugar, Sodium Benzoate, Herbal Extract, Sodium Benzoate, Sweetener, Herbal Extract",120,10,40,Sugar-free,Mexico,Hydration,Sport fall contain letter friend sister know.,"Low-calorie, High-caffeine"
Sprite,Sprite Ginger Blast,Ginger,Energy Drink,"Sugar, Herbal Extract, Herbal Extract, Natural Flavors, Fruit Juice Concentrate, Sugar",160,10,40,"Low calorie, High caffeine",Australia,Weight Management,Thing friend fight win.,"Low-calorie, High-caffeine"
Fanta,Fanta Pineapple Blast,Pineapple,Diet Soda,"Sweetener, Citric Acid, Fruit Juice Concentrate, Artificial Flavor, Citric Acid, Carbonated Water",80,10,40,Low calorie,South Africa,Post-workout,Easy high after two black natural inside.,Low-calorie
Sprite,Sprite Strawberry Blast,Strawberry,Energy Drink,"Sugar, Sodium Benzoate, Carbonated Water, Caffeine, Natural Flavors, Sweetener",120,5,20,"Low sugar, Low calorie, High caffeine",USA,Post-workout,View reflect option direction lose rise.,"Low-sugar, Low-calorie, High-caffeine"
Sprite,Sprite Apple Blast,Apple,Tonic,"Fruit Juice Concentrate, Sodium Benzoate, Sodium Benzoate, Sweetener, Sugar, Sugar",0,40,160,Zero calorie,Germany,Kids-friendly,Chance material leave natural statement.,Caffeine-free
Fresca,Fresca Coconut Blast,Coconut,Energy Drink,"Citric Acid, Natural Flavors, Fruit Juice Concentrate, Sugar, Citric Acid, Carbonated Water",0,10,40,Low calorie,Japan,Energy Boost,Far from military or issue thousand thank heart total.,"Caffeine-free, Low-calorie, Kids-friendly"
Mountain Dew,Mountain Dew Lemon-Lime Blast,Lemon-Lime,Energy Drink,"Caffeine, Citric Acid, Sweetener, Sugar, Citric Acid, Sugar",160,5,20,Sugar-free,Australia,Party,Account professor least hundred read author who central now deal.,"Low-sugar, Low-calorie, High-caffeine"
Bovonto,Bovonto Strawberry Blast,Strawberry,Soda,"Sweetener, Caffeine, Carbonated Water, Citric Acid, Citric Acid, Natural Flavors",120,10,40,"Low calorie, High caffeine",Canada,Post-workout,Shake truth while painting power community.,"Low-calorie, High-caffeine"
Topo Chico,Topo Chico Tamarind Blast,Tamarind,Soda,"Carbonated Water, Carbonated Water, Sugar, Sugar, Caffeine, Caffeine",160,30,120,Zero calorie,Australia,Post-workout,Others stop show participant affect ago.,High-caffeine
Fanta,Fanta Citrus Blast,Citrus,Sparkling Water,"Artificial Flavor, Sweetener, Caffeine, Caffeine, Carbonated Water, Sodium Benzoate",0,0,0,Sugar-free,Australia,Party,Leave leader sit question upon set.,"Diabetic-safe, Caffeine-free, Low-calorie, Kids-friendly"
Fresca,Fresca Mango Blast,Mango,Tonic,"Natural Flavors, Carbonated Water, Fruit Juice Concentrate, Natural Flavors, Citric Acid, Herbal Extract",80,5,20,"Low sugar, Low calorie",UK,Hydration,Worry rich president bank article try light last table energy responsibility.,"Low-sugar, Low-calorie"
Sprite,Sprite Lime Blast,Lime,Soda,"Carbonated Water, Sugar, Sodium Benzoate, Natural Flavors, Caffeine, Carbonated Water",40,0,0,"Sugar-free, Zero calorie",Canada,Weight Management,Still laugh despite remember hotel window science decade likely.,"Diabetic-safe, Low-calorie"
Mirinda,Mirinda Orange Blast,Orange,Diet Soda,"Sugar, Sweetener, Sugar, Caffeine, Sugar, Fruit Juice Concentrate",160,0,0,"Sugar-free, Zero calorie, High caffeine",Australia,Party,Whole alone herself myself space they each author parent.,"Diabetic-safe, Low-calorie, High-caffeine"
Big Cola,Big Cola Lime Blast,Lime,Soda,"Carbonated Water, Sweetener, Herbal Extract, Natural Flavors, Caffeine, Herbal Extract",0,20,80,Low calorie,Japan,Party,Game cost sound rich development check many red.,Caffeine-free
Limca,Limca Strawberry Blast,Strawberry,Tonic,"Sugar, Artificial Flavor, Sweetener, Sodium Benzoate, Sweetener, Sugar",160,5,20,"Low sugar, Low calorie, High caffeine",Canada,Party,Professional responsibility stay benefit southern yet.,"Low-sugar, Low-calorie, High-caffeine"
Fresca,Fresca Melon Blast,Melon,Energy Drink,"Herbal Extract, Sodium Benzoate, Natural Flavors, Caffeine, Herbal Extract, Sugar",120,30,120,Low calorie,Brazil,Party,Hope difficult art person race cover market.,High-caffeine
Topo Chico,Topo Chico Melon Blast,Melon,Sparkling Water,"Fruit Juice Concentrate, Sugar, Natural Flavors, Carbonated Water, Sugar, Sweetener",120,40,160,High caffeine,Japan,Everyday,Official them audience response college north his impact feel at.,High-caffeine
Mirinda,Mirinda Apple Blast,Apple,Sparkling Water,"Carbonated Water, Natural Flavors, Sugar, Sodium Benzoate, Herbal Extract, Citric Acid",120,5,20,"Low sugar, Low calorie, High caffeine",Japan,Post-workout,Fight someone especially spring away house.,"Low-sugar, Low-calorie, High-caffeine"
Limca,Limca Orange Blast,Orange,Soda,"Sweetener, Artificial Flavor, Fruit Juice Concentrate, Sugar, Sugar, Fruit Juice Concentrate",10,0,0,"Sugar-free, Zero calorie",UK,Post-workout,Small stay right relate middle important appear half.,"Diabetic-safe, Low-caffeine, Low-calorie"
Monster,Monster Orange Blast,Orange,Diet Soda,"Fruit Juice Concentrate, Natural Flavors, Artificial Flavor, Fruit Juice Concentrate, Carbonated Water, Herbal Extract",160,0,0,"Sugar-free, Zero calorie, High caffeine",UK,Weight Management,Character big after before future fill upon important energy.,"Diabetic-safe, Low-calorie, High-caffeine"
Sprite,Sprite Lemon-Lime Blast,Lemon-Lime,Tonic,"Citric Acid, Fruit Juice Concentrate, Caffeine, Caffeine, Sodium Benzoate, Herbal Extract",10,10,40,Zero calorie,USA,Hydration,Authority minute build card spring.,"Low-caffeine, Low-calorie"
Mirinda,Mirinda Mint Blast,Mint,Tonic,"Carbonated Water, Sugar, Citric Acid, Herbal Extract, Sodium Benzoate, Herbal Extract",30,10,40,Zero calorie,Germany,Weight Management,Way fact maybe bill board.,Low-calorie
Thums Up,Thums Up Tamarind Blast,Tamarind,Soda,"Caffeine, Artificial Flavor, Natural Flavors, Sugar, Sodium Benzoate, Citric Acid",10,20,80,Regular,Germany,Post-workout,Professional nice hold range our indicate chair test expert.,Low-caffeine
Sprite,Sprite Cola Blast,Cola,Energy Drink,"Natural Flavors, Natural Flavors, Herbal Extract, Sugar, Fruit Juice Concentrate, Sweetener",120,5,20,"Low sugar, Low calorie, High caffeine",Germany,Kids-friendly,Several piece tell other hotel hot join best.,"Low-sugar, Low-calorie, High-caffeine"
Canada Dry,Canada Dry Pineapple Blast,Pineapple,Soda,"Artificial Flavor, Sugar, Natural Flavors, Caffeine, Natural Flavors, Caffeine",0,30,120,Caffeine-free,Australia,Hydration,Manager worker brother south.,Caffeine-free
Pepsi,Pepsi Apple Blast,Apple,Energy Drink,"Sodium Benzoate, Herbal Extract, Sodium Benzoate, Herbal Extract, Fruit Juice Concentrate, Citric Acid",10,20,80,Regular,Australia,Weight Management,Concern program why look machine.,Low-caffeine
Mirinda,Mirinda Lime Blast,Lime,Sparkling Juice,"Caffeine, Caffeine, Natural Flavors, Fruit Juice Concentrate, Caffeine, Herbal Extract",10,20,80,Zero calorie,USA,Everyday,Yourself especially interview brother change player TV actually window.,Low-caffeine
Fanta,Fanta Mixed Fruit Blast,Mixed Fruit,Sparkling Water,"Artificial Flavor, Sodium Benzoate, Caffeine, Caffeine, Natural Flavors, Natural Flavors",120,10,40,"Low calorie, High caffeine",Germany,Weight Management,Call where fly sort meeting.,"Low-calorie, High-caffeine"
7UP,7UP Melon Blast,Melon,Sparkling Water,"Carbonated Water, Herbal Extract, Herbal Extract, Sweetener, Carbonated Water, Sweetener",80,10,40,Low calorie,India,Weight Management,Positive child road continue community drop scientist.,Low-calorie
Fresca,Fresca Citrus Blast,Citrus,Sparkling Water,"Artificial Flavor, Caffeine, Natural Flavors, Sodium Benzoate, Sodium Benzoate, Fruit Juice Concentrate",160,10,40,"Low calorie, High caffeine",South Africa,Everyday,American much rule recognize skin evidence message real leader.,"Low-calorie, High-caffeine"
Appy Fizz,Appy Fizz Lychee Blast,Lychee,Diet Soda,"Caffeine, Natural Flavors, Herbal Extract, Sweetener, Fruit Juice Concentrate, Caffeine",10,40,160,Regular,USA,Kids-friendly,Use little start major experience against.,Low-caffeine
Big Cola,Big Cola Mint Blast,Mint,Energy Drink,"Artificial Flavor, Natural Flavors, Artificial Flavor, Herbal Extract, Fruit Juice Concentrate, Carbonated Water",0,10,40,Low calorie,India,Energy Boost,Strong task mouth response want.,"Caffeine-free, Low-calorie, Kids-friendly"
7UP,7UP Ginger Blast,Ginger,Sparkling Juice,"Carbonated Water, Sweetener, Herbal Extract, Sugar, Caffeine, Artificial Flavor",160,30,120,High caffeine,Australia,Kids-friendly,Let history do prove simple receive growth along sea TV shoulder.,High-caffeine
Sprite,Sprite Strawberry Blast,Strawberry,Energy Drink,"Natural Flavors, Herbal Extract, Sugar, Herbal Extract, Sweetener, Natural Flavors",160,20,80,High caffeine,Australia,Weight Management,Believe yard like everyone name consumer national end baby.,High-caffeine
Sprite,Sprite Mixed Fruit Blast,Mixed Fruit,Soda,"Citric Acid, Fruit Juice Concentrate, Natural Flavors, Herbal Extract, Natural Flavors, Sugar",120,40,160,High caffeine,South Africa,Party,Wide air meet nor police a style yeah drive training relationship.,High-caffeine
Limca,Limca Ginger Blast,Ginger,Diet Soda,"Citric Acid, Citric Acid, Sweetener, Herbal Extract, Carbonated Water, Caffeine",30,10,40,Low calorie,Mexico,Energy Boost,Land ground official with stay for help add.,Low-calorie
Thums Up,Thums Up Berry Blast,Berry,Soda,"Herbal Extract, Herbal Extract, Citric Acid, Citric Acid, Sodium Benzoate, Caffeine",0,20,80,Sugar-free,Canada,Kids-friendly,Story like win new energy bit.,Caffeine-free
Thums Up,Thums Up Ginger Blast,Ginger,Tonic,"Herbal Extract, Sugar, Artificial Flavor, Citric Acid, Herbal Extract, Carbonated Water",0,30,120,Zero calorie,Canada,Energy Boost,Cold accept during reason million.,Caffeine-free
Fresca,Fresca Mango Blast,Mango,Tonic,"Sweetener, Carbonated Water, Natural Flavors, Natural Flavors, Caffeine, Herbal Extract",160,40,160,Sugar-free,Australia,Kids-friendly,Increase benefit safe despite.,High-caffeine
Irn-Bru,Irn-Bru Cola Blast,Cola,Soda,"Fruit Juice Concentrate, Carbonated Water, Sodium Benzoate, Natural Flavors, Citric Acid, Natural Flavors",80,10,40,Low calorie,Germany,Everyday,Carry trade act network news.,Low-calorie
Big Cola,Big Cola Citrus Blast,Citrus,Tonic,"Sugar, Herbal Extract, Sugar, Sweetener, Herbal Extract, Citric Acid",120,0,0,Zero calorie,UK,Energy Boost,Reveal himself yeah against likely pass foreign.,"Diabetic-safe, Low-calorie, High-caffeine"
7UP,7UP Berry Blast,Berry,Tonic,"Herbal Extract, Citric Acid, Sugar, Citric Acid, Sweetener, Fruit Juice Concentrate",120,5,20,"Low sugar, Low calorie, High caffeine",UK,Post-workout,Drop world cause week policy affect lay thousand price Mrs.,"Low-sugar, Low-calorie, High-caffeine"
Red Bull,Red Bull Lemon-Lime Blast,Lemon-Lime,Energy Drink,"Artificial Flavor, Artificial Flavor, Sodium Benzoate, Sweetener, Carbonated Water, Natural Flavors",0,10,40,Sugar-free,Japan,Party,Good food time accept best miss four significant walk itself.,"Caffeine-free, Low-calorie, Kids-friendly"
Red Bull,Red Bull Orange Blast,Orange,Sparkling Water,"Citric Acid, Artificial Flavor, Citric Acid, Sugar, Natural Flavors, Herbal Extract",120,40,160,Low calorie,Germany,Everyday,Task Mr show drive minute.,High-caffeine
Bovonto,Bovonto Melon Blast,Melon,Soda,"Artificial Flavor, Caffeine, Fruit Juice Concentrate, Artificial Flavor, Carbonated Water, Carbonated Water",40,0,0,Low calorie,Brazil,Hydration,Little purpose light rest note full short sure movie those.,"Diabetic-safe, Low-calorie"
Mountain Dew,Mountain Dew Ginger Blast,Ginger,Diet Soda,"Caffeine, Carbonated Water, Artificial Flavor, Fruit Juice Concentrate, Caffeine, Fruit Juice Concentrate",160,0,0,Sugar-free,Mexico,Party,Prevent food art name sell herself face article.,"Diabetic-safe, Low-calorie, High-caffeine"
Canada Dry,Canada Dry Lychee Blast,Lychee,Diet Soda,"Natural Flavors, Fruit Juice Concentrate, Sweetener, Artificial Flavor, Caffeine, Carbonated Water",0,20,80,Low calorie,USA,Weight Management,Fish produce society understand reality American kind.,Caffeine-free
LaCroix,LaCroix Lemon-Lime Blast,Lemon-Lime,Diet Soda,"Herbal Extract, Sweetener, Sugar, Sweetener, Natural Flavors, Sweetener",160,20,80,High caffeine,USA,Post-workout,Year feel its girl material writer.,High-caffeine
Fresca,Fresca Lime Blast,Lime,Tonic,"Fruit Juice Concentrate, Herbal Extract, Citric Acid, Fruit Juice Concentrate, Caffeine, Natural Flavors",120,5,20,"Low sugar, Low calorie, High caffeine",USA,Post-workout,Yes hot home service together yeah site century.,"Low-sugar, Low-calorie, High-caffeine"
Monster,Monster Lychee Blast,Lychee,Tonic,"Sugar, Sweetener, Herbal Extract, Natural Flavors, Citric Acid, Sugar",10,0,0,"Sugar-free, Zero calorie",USA,Energy Boost,Describe start east scientist administration attorney action what wear fly.,"Diabetic-safe, Low-caffeine, Low-calorie"
Thums Up,Thums Up Apple Blast,Apple,Tonic,"Sugar, Sugar, Citric Acid, Fruit Juice Concentrate, Fruit Juice Concentrate, Artificial Flavor",30,0,0,Sugar-free,India,Kids-friendly,Certain develop town various education training edge top.,"Diabetic-safe, Low-calorie"
Pepsi,Pepsi Coconut Blast,Coconut,Sparkling Water,"Artificial Flavor, Artificial Flavor, Herbal Extract, Herbal Extract, Herbal Extract, Citric Acid",40,5,20,Sugar-free,Australia,Kids-friendly,Person case your bad especially a brother.,"Low-sugar, Low-calorie"
Appy Fizz,Appy Fizz Orange Blast,Orange,Sparkling Water,"Natural Flavors, Artificial Flavor, Artificial Flavor, Herbal Extract, Sugar, Caffeine",120,0,0,"Sugar-free, Zero calorie, High caffeine",UK,Everyday,Provide imagine begin later instead direction the writer character laugh.,"Diabetic-safe, Low-calorie, High-caffeine"
7UP,7UP Mixed Fruit Blast,Mixed Fruit,Tonic,"Herbal Extract, Carbonated Water, Citric Acid, Natural Flavors, Sugar, Natural Flavors",160,5,20,Low calorie,USA,Energy Boost,Factor area could forget go you real area government agent.,"Low-sugar, Low-calorie, High-caffeine"
Coca-Cola,Coca-Cola Berry Blast,Berry,Sparkling Water,"Carbonated Water, Sodium Benzoate, Caffeine, Sweetener, Carbonated Water, Caffeine",30,10,40,Low calorie,Brazil,Hydration,Heavy institution up institution between.,Low-calorie
Coca-Cola,Coca-Cola Lychee Blast,Lychee,Energy Drink,"Sodium Benzoate, Artificial Flavor, Sweetener, Carbonated Water, Sodium Benzoate, Carbonated Water",0,30,120,Caffeine-free,Canada,Party,Something spring Mr here toward fight owner poor.,Caffeine-free
Limca,Limca Citrus Blast,Citrus,Diet Soda,"Carbonated Water, Herbal Extract, Caffeine, Caffeine, Caffeine, Natural Flavors",0,5,20,Zero calorie,UK,Party,Enjoy very enough good itself door down worker relate meet.,"Low-sugar, Caffeine-free, Low-calorie, Kids-friendly"
Fresca,Fresca Lemon-Lime Blast,Lemon-Lime,Energy Drink,"Fruit Juice Concentrate, Sweetener, Natural Flavors, Herbal Extract, Herbal Extract, Herbal Extract",160,10,40,"Low calorie, High caffeine",Germany,Energy Boost,Ever situation such catch science country knowledge.,"Low-calorie, High-caffeine"
Fresca,Fresca Citrus Blast,Citrus,Tonic,"Carbonated Water, Natural Flavors, Natural Flavors, Herbal Extract, Carbonated Water, Fruit Juice Concentrate",10,40,160,Zero calorie,USA,Kids-friendly,Lawyer gas subject audience heavy low.,Low-caffeine
Big Cola,Big Cola Berry Blast,Berry,Energy Drink,"Citric Acid, Herbal Extract, Sweetener, Caffeine, Sugar, Carbonated Water",0,5,20,"Low sugar, Low calorie, Caffeine-free",Germany,Party,End mother question total dark miss mouth.,"Low-sugar, Caffeine-free, Low-calorie, Kids-friendly"
Sprite,Sprite Mint Blast,Mint,Energy Drink,"Citric Acid, Artificial Flavor, Artificial Flavor, Herbal Extract, Caffeine, Caffeine",10,30,120,Regular,Germany,Weight Management,Black want budget produce ground.,Low-caffeine
Sprite,Sprite Vanilla Blast,Vanilla,Soda,"Carbonated Water, Sodium Benzoate, Artificial Flavor, Natural Flavors, Artificial Flavor, Natural Flavors",0,30,120,Caffeine-free,South Africa,Kids-friendly,Girl site society ready wonder soon cut.,Caffeine-free
Jarritos,Jarritos Mango Blast,Mango,Sparkling Water,"Herbal Extract, Natural Flavors, Caffeine, Herbal Extract, Citric Acid, Herbal Extract",40,10,40,Low calorie,UK,Everyday,General stop condition look indeed miss.,Low-calorie
Appy Fizz,Appy Fizz Lime Blast,Lime,Diet Soda,"Artificial Flavor, Caffeine, Citric Acid, Artificial Flavor, Caffeine, Herbal Extract",160,40,160,High caffeine,Brazil,Weight Management,Benefit cost despite couple end network.,High-caffeine
Mountain Dew,Mountain Dew Grape Blast,Grape,Soda,"Natural Flavors, Sodium Benzoate, Sugar, Caffeine, Natural Flavors, Fruit Juice Concentrate",10,10,40,Sugar-free,Japan,Everyday,Car name grow improve late.,"Low-caffeine, Low-calorie"
Sprite,Sprite Melon Blast,Melon,Tonic,"Sodium Benzoate, Citric Acid, Fruit Juice Concentrate, Sugar, Citric Acid, Citric Acid",10,30,120,Low calorie,India,Party,Light instead Democrat author offer science quite economic make skill another.,Low-caffeine
Mountain Dew,Mountain Dew Lime Blast,Lime,Sparkling Water,"Herbal Extract, Natural Flavors, Sodium Benzoate, Artificial Flavor, Sweetener, Carbonated Water",40,0,0,Zero calorie,Canada,Kids-friendly,Order small tough know media which.,"Diabetic-safe, Low-calorie"
Big Cola,Big Cola Lemon-Lime Blast,Lemon-Lime,Tonic,"Caffeine, Caffeine, Fruit Juice Concentrate, Sweetener, Herbal Extract, Sugar",160,40,160,Low calorie,USA,Hydration,Weight sister best development bring believe return late author.,High-caffeine
Limca,Limca Melon Blast,Melon,Diet Soda,"Fruit Juice Concentrate, Fruit Juice Concentrate, Carbonated Water, Fruit Juice Concentrate, Sweetener, Herbal Extract",40,5,20,Sugar-free,Canada,Kids-friendly,Arm small wall paper house travel.,"Low-sugar, Low-calorie"
Pepsi,Pepsi Ginger Blast,Ginger,Sparkling Juice,"Caffeine, Sugar, Citric Acid, Sweetener, Citric Acid, Herbal Extract",160,40,160,High caffeine,Japan,Weight Management,Maintain economic treatment clearly trip behind have.,High-caffeine
Appy Fizz,Appy Fizz Cola Blast,Cola,Sparkling Water,"Sweetener, Artificial Flavor, Natural Flavors, Natural Flavors, Carbonated Water, Fruit Juice Concentrate",120,0,0,"Sugar-free, Zero calorie, High caffeine",Brazil,Post-workout,Indicate become peace this in listen.,"Diabetic-safe, Low-calorie, High-caffeine"
Canada Dry,Canada Dry Apple Blast,Apple,Sparkling Juice,"Sodium Benzoate, Sodium Benzoate, Caffeine, Natural Flavors, Natural Flavors, Sweetener",40,5,20,"Low sugar, Low calorie",Brazil,Weight Management,Maintain state six foot pretty likely receive then many.,"Low-sugar, Low-calorie"
Coca-Cola,Coca-Cola Coconut Blast,Coconut,Sparkling Juice,"Herbal Extract, Citric Acid, Citric Acid, Sugar, Caffeine, Caffeine",120,40,160,High caffeine,Australia,Hydration,Must from manage special sea surface window.,High-caffeine
Limca,Limca Cola Blast,Cola,Tonic,"Sweetener, Sodium Benzoate, Natural Flavors, Fruit Juice Concentrate, Natural Flavors, Artificial Flavor",160,5,20,Zero calorie,Canada,Hydration,Significant magazine morning say environment commercial actually series.,"Low-sugar, Low-calorie, High-caffeine"
7UP,7UP Ginger Blast,Ginger,Sparkling Juice,"Sodium Benzoate, Carbonated Water, Natural Flavors, Citric Acid, Fruit Juice Concentrate, Sodium Benzoate",80,0,0,Zero calorie,Canada,Hydration,Usually occur upon east late.,"Diabetic-safe, Low-calorie"
Monster,Monster Apple Blast,Apple,Energy Drink,"Caffeine, Carbonated Water, Herbal Extract, Artificial Flavor, Fruit Juice Concentrate, Caffeine",0,0,0,Low calorie,UK,Hydration,Between service recognize interview against two.,"Diabetic-safe, Caffeine-free, Low-calorie, Kids-friendly"
Thums Up,Thums Up Lychee Blast,Lychee,Soda,"Sodium Benzoate, Sweetener, Caffeine, Sodium Benzoate, Citric Acid, Artificial Flavor",10,40,160,Sugar-free,Canada,Hydration,Evening set since believe stage thank network individual feel.,Low-caffeine
Fresca,Fresca Grape Blast,Grape,Sparkling Water,"Sugar, Citric Acid, Sugar, Herbal Extract, Citric Acid, Artificial Flavor",30,5,20,Sugar-free,South Africa,Hydration,Either talk question boy game benefit pass continue describe view.,"Low-sugar, Low-calorie"
Appy Fizz,Appy Fizz Berry Blast,Berry,Sparkling Juice,"Caffeine, Natural Flavors, Herbal Extract, Sweetener, Citric Acid, Sweetener",40,0,0,"Sugar-free, Zero calorie",Australia,Kids-friendly,Statement Republican now high wind skill.,"Diabetic-safe, Low-calorie"
Red Bull,Red Bull Tamarind Blast,Tamarind,Diet Soda,"Sweetener, Fruit Juice Concentrate, Sugar, Herbal Extract, Citric Acid, Citric Acid",30,0,0,"Sugar-free, Zero calorie",UK,Weight Management,Only player let treatment give theory either.,"Diabetic-safe, Low-calorie"
Fresca,Fresca Mango Blast,Mango,Energy Drink,"Caffeine, Sodium Benzoate, Carbonated Water, Carbonated Water, Sugar, Herbal Extract",10,30,120,Regular,Brazil,Hydration,Body skill debate four.,Low-caffeine
Bovonto,Bovonto Orange Blast,Orange,Sparkling Water,"Caffeine, Natural Flavors, Fruit Juice Concentrate, Caffeine, Sweetener, Carbonated Water",10,10,40,Low calorie,Mexico,Weight Management,Risk picture project couple control act car project door.,"Low-caffeine, Low-calorie"
7UP,7UP Mango Blast,Mango,Sparkling Water,"Carbonated Water, Sweetener, Herbal Extract, Citric Acid, Sweetener, Sugar",160,20,80,Zero calorie,Brazil,Post-workout,Common sister house development candidate finally air main drug.,High-caffeine
Thums Up,Thums Up Lime Blast,Lime,Soda,"Herbal Extract, Carbonated Water, Herbal Extract, Sodium Benzoate, Citric Acid, Caffeine",10,40,160,Low calorie,Canada,Party,Itself affect yard summer research quite cut use.,Low-caffeine
Bovonto,Bovonto Mint Blast,Mint,Sparkling Juice,"Artificial Flavor, Artificial Flavor, Citric Acid, Natural Flavors, Sugar, Natural Flavors",120,30,120,Sugar-free,India,Energy Boost,Room get no piece drive.,High-caffeine
Canada Dry,Canada Dry Lemon-Lime Blast,Lemon-Lime,Sparkling Juice,"Natural Flavors, Sugar, Caffeine, Citric Acid, Caffeine, Sugar",120,40,160,Low calorie,South Africa,Weight Management,Life understand kind never fire season gas worker cold.,High-caffeine
Coca-Cola,Coca-Cola Lemon-Lime Blast,Lemon-Lime,Diet Soda,"Caffeine, Caffeine, Citric Acid, Sugar, Natural Flavors, Fruit Juice Concentrate",30,0,0,Sugar-free,Brazil,Party,Pressure edge yeah statement.,"Diabetic-safe, Low-calorie"
Irn-Bru,Irn-Bru Lemon-Lime Blast,Lemon-Lime,Soda,"Herbal Extract, Caffeine, Caffeine, Sugar, Sugar, Citric Acid",80,0,0,"Sugar-free, Zero calorie",Canada,Post-workout,Current join speak six usually window use state.,"Diabetic-safe, Low-calorie"
Fanta,Fanta Coconut Blast,Coconut,Sparkling Water,"Natural Flavors, Sodium Benzoate, Fruit Juice Concentrate, Natural Flavors, Fruit Juice Concentrate, Sugar",10,10,40,Low calorie,India,Post-workout,Point us weight option training traditional leader defense recognize.,"Low-caffeine, Low-calorie"
Red Bull,Red Bull Orange Blast,Orange,Sparkling Water,"Sugar, Sodium Benzoate, Sodium Benzoate, Herbal Extract, Fruit Juice Concentrate, Natural Flavors",120,40,160,High caffeine,South Africa,Everyday,View pick baby including movement risk others begin.,High-caffeine
Red Bull,Red Bull Berry Blast,Berry,Sparkling Juice,"Sugar, Carbonated Water, Herbal Extract, Fruit Juice Concentrate, Artificial Flavor, Natural Flavors",120,40,160,Sugar-free,India,Energy Boost,News watch religious paper cause prepare seem bill raise available.,High-caffeine
Appy Fizz,Appy Fizz Berry Blast,Berry,Energy Drink,"Sugar, Fruit Juice Concentrate, Sodium Benzoate, Sugar, Herbal Extract, Fruit Juice Concentrate",10,30,120,Sugar-free,Australia,Energy Boost,Suddenly analysis bit too certain police beyond think public blood.,Low-caffeine
7UP,7UP Lime Blast,Lime,Soda,"Citric Acid, Fruit Juice Concentrate, Sugar, Herbal Extract, Caffeine, Citric Acid",10,10,40,Low calorie,Germany,Post-workout,Including them along sit question.,"Low-caffeine, Low-calorie"
Topo Chico,Topo Chico Ginger Blast,Ginger,Diet Soda,"Sugar, Citric Acid, Herbal Extract, Artificial Flavor, Natural Flavors, Sodium Benzoate",10,5,20,Low calorie,Australia,Weight Management,Rate purpose life may professional child international sometimes.,"Low-sugar, Low-caffeine, Low-calorie"
Red Bull,Red Bull Coconut Blast,Coconut,Diet Soda,"Herbal Extract, Natural Flavors, Carbonated Water, Carbonated Water, Citric Acid, Sweetener",0,10,40,"Low calorie, Caffeine-free",USA,Everyday,Structure not consider three night kitchen wife account boy.,"Caffeine-free, Low-calorie, Kids-friendly"
Topo Chico,Topo Chico Mint Blast,Mint,Sparkling Water,"Natural Flavors, Herbal Extract, Artificial Flavor, Sweetener, Artificial Flavor, Herbal Extract",120,30,120,Sugar-free,UK,Kids-friendly,Trial word technology past onto add population resource family.,High-caffeine
Coca-Cola,Coca-Cola Ginger Blast,Ginger,Tonic,"Sodium Benzoate, Sweetener, Caffeine, Fruit Juice Concentrate, Sweetener, Sweetener",40,5,20,Sugar-free,Mexico,Weight Management,Lawyer the she nor up education discuss these meet.,"Low-sugar, Low-calorie"
Red Bull,Red Bull Lychee Blast,Lychee,Sparkling Juice,"Artificial Flavor, Sodium Benzoate, Caffeine, Caffeine, Sodium Benzoate, Sodium Benzoate",0,20,80,Caffeine-free,Canada,Everyday,Surface more improve manager describe health by as capital party.,Caffeine-free
Appy Fizz,Appy Fizz Mango Blast,Mango,Sparkling Juice,"Sodium Benzoate, Natural Flavors, Sodium Benzoate, Sodium Benzoate, Herbal Extract, Natural Flavors",120,10,40,Low calorie,India,Energy Boost,Beyond million move worry protect administration want board.,"Low-calorie, High-caffeine"
Canada Dry,Canada Dry Lemon-Lime Blast,Lemon-Lime,Sparkling Juice,"Fruit Juice Concentrate, Natural Flavors, Carbonated Water, Sweetener, Caffeine, Artificial Flavor",10,5,20,Low calorie,Mexico,Hydration,Bill magazine something year attorney without.,"Low-sugar, Low-caffeine, Low-calorie"
Irn-Bru,Irn-Bru Mango Blast,Mango,Sparkling Water,"Herbal Extract, Sodium Benzoate, Herbal Extract, Carbonated Water, Carbonated Water, Sodium Benzoate",160,30,120,Zero calorie,UK,Hydration,Particularly front newspaper total threat.,High-caffeine
Irn-Bru,Irn-Bru Lychee Blast,Lychee,Diet Soda,"Sweetener, Natural Flavors, Fruit Juice Concentrate, Sodium Benzoate, Artificial Flavor, Fruit Juice Concentrate",120,30,120,Sugar-free,South Africa,Energy Boost,Talk true authority responsibility stop left hit must actually.,High-caffeine
Topo Chico,Topo Chico Pineapple Blast,Pineapple,Diet Soda,"Artificial Flavor, Artificial Flavor, Sweetener, Sodium Benzoate, Natural Flavors, Citric Acid",30,5,20,"Low sugar, Low calorie",South Africa,Party,Interest house reason fire why environment wish specific reveal central.,"Low-sugar, Low-calorie"
7UP,7UP Ginger Blast,Ginger,Diet Soda,"Fruit Juice Concentrate, Natural Flavors, Sweetener, Carbonated Water, Caffeine, Sugar",10,20,80,Regular,Germany,Hydration,Religious feeling quickly let full reality safe class degree own.,Low-caffeine
